Rank,Club,Country,Level,Elo,From,To
9,Chelsea,ENG,1,1915.403931,11/3/2017,11/5/2017
8,Chelsea,ENG,1,1922.096313,11/6/2017,11/18/2017
7,Chelsea,ENG,1,1928.533081,11/19/2017,11/21/2017
7,Chelsea,ENG,1,1930.855103,11/22/2017,11/22/2017
7,Chelsea,ENG,1,1931.944214,11/23/2017,11/23/2017
9,Chelsea,ENG,1,1921.393799,11/24/2017,11/25/2017
8,Chelsea,ENG,1,1921.415894,11/26/2017,11/29/2017
8,Chelsea,ENG,1,1922.913696,11/30/2017,12/2/2017
7,Chelsea,ENG,1,1925.000366,12/3/2017,12/5/2017
7,Chelsea,ENG,1,1922.685303,12/6/2017,12/6/2017
7,Chelsea,ENG,1,1921.943359,12/7/2017,12/7/2017
7,Chelsea,ENG,1,1925.820313,12/8/2017,12/9/2017
8,Chelsea,ENG,1,1912.105713,12/10/2017,12/12/2017
7,Chelsea,ENG,1,1914.794067,12/13/2017,12/16/2017
7,Chelsea,ENG,1,1916.811768,12/17/2017,12/17/2017
8,Chelsea,ENG,1,1916.811768,12/18/2017,12/23/2017
9,Chelsea,ENG,1,1912.733154,12/24/2017,12/26/2017
8,Chelsea,ENG,1,1914.914795,12/27/2017,12/30/2017
7,Chelsea,ENG,1,1918.829712,12/31/2017,1/2/2018
8,Chelsea,ENG,1,1918.829712,1/3/2018,1/3/2018
8,Chelsea,ENG,1,1918.275757,1/4/2018,1/4/2018
7,Chelsea,ENG,1,1918.275757,1/5/2018,1/13/2018
8,Chelsea,ENG,1,1912.275024,1/14/2018,1/20/2018
7,Chelsea,ENG,1,1917.658936,1/21/2018,1/31/2018
10,Chelsea,ENG,1,1891.674316,2/1/2018,2/5/2018
12,Chelsea,ENG,1,1868.621338,2/6/2018,2/12/2018
12,Chelsea,ENG,1,1872.189941,2/13/2018,2/13/2018
12,Chelsea,ENG,1,1875.078857,2/14/2018,2/14/2018
12,Chelsea,ENG,1,1879.120117,2/15/2018,2/15/2018
11,Chelsea,ENG,1,1879.685791,2/16/2018,2/20/2018
11,Chelsea,ENG,1,1878.823242,2/21/2018,2/21/2018
11,Chelsea,ENG,1,1878.73645,2/22/2018,2/22/2018
11,Chelsea,ENG,1,1878.588379,2/23/2018,2/25/2018
12,Chelsea,ENG,1,1872.442993,2/26/2018,3/3/2018
11,Chelsea,ENG,1,1872.442993,3/4/2018,3/4/2018
11,Chelsea,ENG,1,1868.699585,3/5/2018,3/6/2018
11,Chelsea,ENG,1,1868.292847,3/7/2018,3/7/2018
12,Chelsea,ENG,1,1863.094727,3/8/2018,3/8/2018
12,Chelsea,ENG,1,1866.349731,3/9/2018,3/10/2018
11,Chelsea,ENG,1,1868.765381,3/11/2018,3/13/2018
12,Chelsea,ENG,1,1863.039795,3/14/2018,3/14/2018
12,Chelsea,ENG,1,1854.771362,3/15/2018,3/15/2018
12,Chelsea,ENG,1,1855.874756,3/16/2018,4/1/2018
12,Chelsea,ENG,1,1845.246826,4/2/2018,4/5/2018
12,Chelsea,ENG,1,1848.83728,4/6/2018,4/8/2018
13,Chelsea,ENG,1,1842.589478,4/9/2018,4/10/2018
14,Chelsea,ENG,1,1842.589478,4/11/2018,4/12/2018
13,Chelsea,ENG,1,1842.885498,4/13/2018,4/14/2018
12,Chelsea,ENG,1,1847.358398,4/15/2018,4/19/2018
12,Chelsea,ENG,1,1853.751099,4/20/2018,4/24/2018
12,Chelsea,ENG,1,1856.793335,4/25/2018,4/26/2018
12,Chelsea,ENG,1,1856.111938,4/27/2018,4/28/2018
12,Chelsea,ENG,1,1860.623169,4/29/2018,4/29/2018
11,Chelsea,ENG,1,1860.623169,4/30/2018,5/2/2018
11,Chelsea,ENG,1,1859.713013,5/3/2018,5/3/2018
11,Chelsea,ENG,1,1858.159302,5/4/2018,5/6/2018
11,Chelsea,ENG,1,1866.499878,5/7/2018,5/9/2018
11,Chelsea,ENG,1,1858.670288,5/10/2018,5/13/2018
13,Chelsea,ENG,1,1838.180054,5/14/2018,5/26/2018
13,Chelsea,ENG,1,1835.658203,5/27/2018,7/26/2018
13,Chelsea,ENG,1,1835.675781,7/27/2018,8/2/2018
13,Chelsea,ENG,1,1836.603149,8/3/2018,8/9/2018
13,Chelsea,ENG,1,1837.004272,8/10/2018,8/11/2018
13,Chelsea,ENG,1,1843.047119,8/12/2018,8/16/2018
13,Chelsea,ENG,1,1845.788818,8/17/2018,8/18/2018
12,Chelsea,ENG,1,1851.488281,8/19/2018,8/19/2018
13,Chelsea,ENG,1,1851.488281,8/20/2018,8/23/2018
13,Chelsea,ENG,1,1847.733032,8/24/2018,8/26/2018
13,Chelsea,ENG,1,1852.849243,8/27/2018,8/27/2018
12,Chelsea,ENG,1,1852.849243,8/28/2018,8/30/2018
